species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Globigerinella megaperta,29.84,26.71,Spezzaferri et al. (2018a) = 29.84,Spezzaferri et al. (2018a) = 26.71,Globigerinella wagneri,2,Spezzaferri et al. (2018a),3,No data,Macro
Globigerinella molinae,28.16,22.67,Spezzaferri et al. (2018a) = 28.16,Spezzaferri et al. (2018a) = 22.67,Globigerinella navazuelensis,2,Spezzaferri et al. (2018a),3,No data,Macro
Globigerinella navazuelensis,28.24,19.5,Spezzaferri et al. (2018a) = 28.24,Spezzaferri et al. (2018a) = 19.50,Globigerinella praesiphonifera,6,Spezzaferri et al. (2018a),3,No data,Macro
Globigerinella obesa,33.52,5.02,Spezzaferri et al. (2018a) = 33.52,Spezzaferri et al. (2018a) = 5.02,Globigerina archaeobulloides,2,Kennett and Srinivasan (1983),3,D. R. M. Stewart unpublished data,Macro
Globigerinella praesiphonifera,28.97,11.92,Spezzaferri et al. (2018a) = 28.97,Spezzaferri et al. (2018a) = 14.69. Last recorded occurence date extension Kennett and Srinivasan (1983) = 11.92,Globigerinella obesa,2,Kennett and Srinivasan (1983),3,"Pearson and Shackleton (1995), Pearson et al. (2001b), Boscolo-Galazzo et al (2021)",Macro
Globigerinella radians,7.08,Living,Weiner et al. (2015) = 7.08,Weiner et al. (2015) = 0.00,Globigerinella siphonifera,2,Weiner et al. (2015),3,Lamyman et al. (In Prep.),Macro
Globigerinella roeglina,29.04,16.12,Spezzaferri et al. (2018a) = 29.04,Last recorded occurence date extension Spezzaferri et al. (2018a) = 16.12,Globigerinella obesa,2,Spezzaferri et al. (2018a),4,Spezzaferri et al. (2018a),Macro
Globigerinella siphonifera,12.64,Living,Kennett and Srinivasan (1983) = 12.64,Chaisson and Pearson (1997) = 0.00,Globigerinella praesiphonifera,6,Kennett and Srinivasan (1983),"1,3","Vergnaud-Grazzini (1976), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globigerinella wagneri,33.26,27.09,Spezzaferri et al. (2018a) = 33.26,Spezzaferri et al. (2018a) = 27.09,Globigerinella obesa,2,Spezzaferri et al. (2018a),3,No data,Macro
Globigerinoides altiaperturus,21.4,16.39,Spezzaferri et al. (2018c) = 21.40,Spezzaferri et al. (2018c) = 16.39,Globigerinoides joli,3,Kennett and Srinivasan (1983),1,"Keller (1985), Liebrand et al. (2024)",Macro
Globigerinoides bollii,21.82,3.14,Spezzaferri et al. (2018c) = 21.82,Spezzaferri et al. (2018c) = 3.14,Globigerinoides italicus,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides conglobatus,6.2,Living,Datum B Globigerinoides conglobatus of Raffi et al. (2020) = 6.20,Kennett and Srinivasan (1983) = 0.00,Globigerinoides eoconglobatus,3,Kennett and Srinivasan (1983),1,"Keller (1985), Schiebel and Hemleben (2017)",Macro
Globigerinoides diminutus,16.07,14.78,Datum B Globigerinoides diminutus of Raffi et al. (2020) = 16.07,Stanley et al. (1988) = 14.78,Globigerinoides subquadratus,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides elongatus,4.55,Living,Aurahs et al. (2011) = 4.55,Aurahs et al. (2011) = 0.00,Globigerinoides extremus,3,Aurahs et al. (2011),1,Hollstein et al. (2017),Macro
Globigerinoides eoconglobatus,9.35,Living,Stainbank et al. (2018) = 9.35,Stainbank et al. (2018) = 0.00,Globigerinoides obliquus,2,Stainbank et al. (2018),1,Stainbank et al. (2018),Macro
Globigerinoides extremus,8.83,1.98,Datum B Globigerinoides extremus of Raffi et al. (2020) = 8.83,Datum T Globigerinoides extremus of Raffi et al. (2020) = 1.98,Globigerinoides obliquus,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides italicus,22.52,4.01,First recorded occurence date extension Spezzaferri et al. (2018c) = 22.52. Spezzaferri et al. (2018c) = 22.50,Spezzaferri et al. (2018c) = 4.01,Globigerinoides neoparawoodi,3,Spezzaferri et al. (2018c),1,No data,Macro
Globigerinoides joli,22.47,16.39,Spezzaferri et al. (2018c) = 22.47,Spezzaferri et al. (2018c) = 16.39,Globigerinoides neoparawoodi,3,Spezzaferri et al. (2018c),1,No data,Macro
Globigerinoides kennetti,9.16,5.32,Stanley et al. (1988) = 9.16,Stanley et al. (1988) = 5.32,Globigerinoides bollii,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides mitra,17.79,12.28,Stanley et al. (1988) = 17.79,Stanley et al. (1988) = 12.28,Globigerinoides subquadratus,3,Kennett and Srinivasan (1983),1,"Keller (1985), Pearson et al. (2001b)",Macro
Globigerinoides neoparawoodi,22.62,14.5,Spezzaferri et al. (2018c) = 22.62,Spezzaferri et al. (2018c) = 14.50,Globoturborotalita woodi,3,Spezzaferri et al. (2018c),1,No data,Macro
Globigerinoides obliquus,21.4,1.3,Spezzaferri et al. (2018c) = 21.40,Datum T Globigerinoides obliquus of Raffi et al. (2020) = 1.30,Globigerinoides altiaperturus,3,Kennett and Srinivasan (1983),1,"Keller (1985), Pearson et al. (2001b)",Macro
Globigerinoides ruber,15.12,Living,Stanley et al. (1988) = 15.12,Stanley et al. (1988) = 0.00,Globigerinoides subquadratus,3,Kennett and Srinivasan (1983),1,"Keller (1985), Pearson and Shackleton (1995), Pearson et al. (2001b), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globigerinoides seigliei,9.76,4.72,Stanley et al. (1988) = 9.76,Datum T Globigerinoides seiglei of Raffi et al. (2020) = 4.72,Globigerinoides ruber,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides subquadratus,22.52,11.57,Spezzaferri et al. (2018c) = 22.52,Datum T Globigerinoides subquadratus of Raffi et al. (2020) = 11.57,Globigerinoides italicus,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
Globigerinoides tenellus,2.42,Living,Kennett and Srinivasan (1983) = 2.42,Kennett and Srinivasan (1983) = 0.00,Globigerinoides elongatus,2,Kennett and Srinivasan (1983),2,"Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globigerinoidesella fistulosa,3.33,1.88,Datum B Globigerinoidesella fistulosa of Raffi et al. (2020) = 3.33,Datum T Globigerinoidesella fistulosa of Raffi et al. (2020) = 1.88,Trilobatus sacculifer,3,Kennett and Srinivasan (1983),1,"Keller (1985), Pearson and Shackleton (1995)",Macro
Globoconella conomiozea,7.89,6.52,Datum B Globoconella conomiozea [temperate] of Raffi et al. (2020) = 7.89,Datum T Globoconella conomiozea [temperate] of Raffi et al. (2020) = 6.52,Globoconella miotumida,14,Kennett and Srinivasan (1983),3,"Schneider and Kennett (1996), Boscolo-Galazzo et al (2021)",Macro
Globoconella inflata,3.24,Living,Datum B Globoconella inflata [SAtl] of Raffi et al. (2020) = 3.24,Wei (1994) = 0.00,Globoconella puncticulata,7,Kennett and Srinivasan (1983),"2,3,4,6","Vergnaud-Grazzini (1976), Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al. (2021)",Macro
Globoconella miotumida,16.39,5.83,Wei (1994) = 16.39,Wei (1994) = 5.83,Globoconella miozea,14,Kennett and Srinivasan (1983),3,Schneider and Kennett (1996),Macro
Globoconella miozea,16.62,11.43,Datum B Globoconella miozea of Raffi et al. (2020) = 16.62,D. R. M. Stewart unpublished data = 11.43,Globorotalia praescitula,14,Kennett and Srinivasan (1983),3,Schneider and Kennett (1996),Macro
Globoconella pliozea,5.66,4.1,Datum B Globoconella pliozea [SPac] of Raffi et al. (2020) = 5.66,Wei (1994) = 4.10,Globoconella terminalis,15,Wei (1994),3,Schneider and Kennett (1996),Macro
Globoconella pseudospinosa,4.57,4.11,Crundwell (2018) = 4.57,Crundwell (2018) = 4.11,Globoconella sphericomiozea,7,Crundwell (2018),3,No data,Macro
Globoconella puncticulata,4.51,2.43,Datum B Globoconella puncticulata of Berggren et al. (1995a) = 4.51,Datum T Globoconella puncticulata of Berggren et al. (1995a) = 2.43,Globoconella sphericomiozea,7,Kennett and Srinivasan (1983),3,"Schneider and Kennett (1996), Boscolo-Galazzo et al. (2021)",Macro
Globoconella sphericomiozea,5.66,4.51,Datum B Globoconella sphericomiozea [SPac] of Raffi et al. (2020) = 5.66,Wei (1994) = 4.51,Globoconella terminalis,7,Kennett and Srinivasan (1983),3,Schneider and Kennett (1996),Macro
Globoconella terminalis,6.52,5.02,Datum T Globoconella conomiozea [temperate] of Raffi et al. (2020) = 6.52. Wei (1994) = 5.69,Wei (1994) = 5.02,Globoconella conomiozea,15,Wei (1987),3,Schneider and Kennett (1996),Macro
Globoquadrina dehiscens,24.23,5.91,First recorded occurence date extension Wade et al. (2018c) = 24.23. Datum B Globoquadrina dehiscens of Raffi et al. (2020) = 22.50,Datum T Globoquadrina dehiscens of Raffi et al. (2020) = 5.91,Dentoglobigerina larmeui,7,Kennett and Srinivasan (1983),3,"Keller (1985), Pearson and Shackleton (1995)",Macro
Globorotalia archeomenardii,16.26,13.86,Datum B Globorotalia archeomenardii of Raffi et al. (2020) = 16.26,Datum T Globorotalia archeomenardii of Raffi et al. (2020) = 13.86,Globorotalia praescitula,14,Kennett and Srinivasan (1983),3,"Pearson and Shackleton (1995), Boscolo-Galazzo et al. (2021)",Macro
Globorotalia bermudezi,1.98,Living,D. R. M. Stewart unpublished data = 1.98,D. R. M. Stewart unpublished data = 0.00,Globorotalia scitula,16,Kennett and Srinivasan (1983),4,No data,Macro
Globorotalia cavernula,0.91,Living,D. R. M. Stewart unpublished data = 0.91,D. R. M. Stewart unpublished data = 0.00,Globorotalia truncatulinoides,15,Kennett and Srinivasan (1983),4,No data,Macro
Globorotalia challengeri,11.23,9.98,Datum B Hirsutella challengeri of Raffi et al. (2020) = 11.23,Datum T Globorotalia challengeri of Raffi et al. (2020) = 9.98,Globorotalia scitula,16,Kennett and Srinivasan (1983),4,No data,Macro
Globorotalia cibaoensis,9.44,4.61,Datum B Globorotalia cibaoensis of Raffi et al. (2020) = 9.44,Datum T Globorotalia cibaoensis of Raffi et al. (2020) = 4.61,Globorotalia scitula,16,Kennett and Srinivasan (1983),4,No data,Macro
Globorotalia crassaconica,4.31,3.51,D. R. M. Stewart unpublished data = 4.31,D. R. M. Stewart unpublished data = 3.51,Globorotalia crassaformis,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia crassaformis,5.81,Living,D. R. M. Stewart unpublished data = 5.81,D. R. M. Stewart unpublished data = 0.00,Globorotalia cibaoensis,15,Kennett and Srinivasan (1983),"2,3,4","Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al. (2021)",Macro
Globorotalia crassula,5.63,0.91,D. R. M. Stewart unpublished data = 5.63,Jenkins and Orr (1972) = 0.91,Globorotalia cibaoensis,15,Kennett and Srinivasan (1983),"2,4,5",Shackleton and Vincent (1978),Macro
Globorotalia cultrata,12.46,Living,D. R. M. Stewart unpublished data = 12.46,D. R. M. Stewart unpublished data = 0.00,Globorotalia praemenardii,14,Stainforth et al. (1975),"2,3","Shackleton and Vincent (1978), Pearson and Shackleton (1995), Schiebel and Hemleben (2017), Procter et al. (In prep)",Macro
Globorotalia eastropacia,4.61,Living,Kennett and Srinivasan (1983) = 4.61,D. R. M. Stewart unpublished data = 0.00,Globorotalia margaritae,14,Kennett and Srinivasan (1983),"2,3,4","Curry et al. (1983), Schiebel and Hemleben (2017)",Macro
Globorotalia evoluta,4.8,3.91,D. R. M. Stewart unpublished data = 4.80,D. R. M. Stewart unpublished data = 3.91,Globorotalia margaritae,16,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia excelsa,1.85,Living,D. R. M. Stewart unpublished data = 1.85,D. R. M. Stewart unpublished data = 0.00,Globorotalia truncatulinoides,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia exilis,4.45,2.09,Datum B Globorotalia exilis of Raffi et al. (2020) = 4.45,Datum T Globorotalia exilis [Atl] of Raffi et al. (2020) = 2.09,Globorotalia limbata,14,Kennett and Srinivasan (1983),"2,3",Procter et al. (In prep),Macro
Globorotalia flexuosa,0.4,0.07,Datum B Globorotalia flexuosa of Raffi et al. (2020) = 0.40,Datum T Globorotalia flexuosa of Raffi et al. (2020) = 0.07,Globorotalia tumida,14,Kennett and Srinivasan (1983),3,Procter et al. (In prep),Macro
Globorotalia gigantea,14.99,8.95,D. R. M. Stewart unpublished data = 14.99,D. R. M. Stewart unpublished data = 8.95,Globorotalia scitula,14,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia hessi,1.8,0.4,D. R. M. Stewart unpublished data = 1.80,D. R. M. Stewart unpublished data = 0.40,Globorotalia ronda,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia hirsuta,4.35,Living,Jenkins and Orr (1972) = 4.35,D. R. M. Stewart unpublished data = 0.00,Globorotalia margaritae,15,Kennett and Srinivasan (1983),"2,3,4","Williams et al. (1981), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globorotalia juanai,9.69,4.8,Datum B Globorotalia juanai of Raffi et al. (2020) = 9.69,D. R. M. Stewart unpublished data = 4.80,Globorotalia scitula,16,Kennett and Srinivasan (1983),4,No data,Macro
Globorotalia limbata,10.64,2.39,Datum B Globorotalia limbata of Raffi et al. (2020) = 10.64,Datum T Globorotalia limbata [Atl] of Raffi et al. (2020) = 2.39,Globorotalia cultrata,14,Kennett and Srinivasan (1983),"2,3","Boscolo-Galazzo et al. (2021), Procter et al. (In prep)",Macro
Globorotalia margaritae,6.08,3.85,Datum B Globorotalia margaritae of Raffi et al. (2020) = 6.08,Datum T Globorotalia margaritae of Raffi et al. (2020) = 3.85,Globorotalia primitiva,14,Kennett and Srinivasan (1983),3,Procter et al. (In prep),Macro
Globorotalia menardii,12.31,6.97,Lirer et al. (2019) = 12.31,Lirer et al. (2019) = 6.97,Globorotalia praemenardii,14,Stainforth et al. (1975),,No data,Macro
Globorotalia merotumida,11.2,5.93,D. R. M. Stewart unpublished data = 11.20,D. R. M. Stewart unpublished data = 5.93,Globorotalia cultrata,14,Kennett and Srinivasan (1983),3,No data,Macro
Globorotalia miocenica,3.77,2.39,Datum B Globorotalia miocenica [Atl] of Raffi et al. (2020) = 3.77,Datum T Globorotalia miocenica [Atl] of Raffi et al. (2020) = 2.39,Globorotalia pseudomiocenica,14,Kennett and Srinivasan (1983),2,Procter et al. (In prep),Macro
Globorotalia multicamerata,6.66,2.98,D. R. M. Stewart unpublished data = 6.66,Datum T Globorotalia multicamerata of Raffi et al. (2020) = 2.98,Globorotalia limbata,14,Kennett and Srinivasan (1983),"2,3",Procter et al. (In prep),Macro
Globorotalia pachytheca,1.8,Living,D. R. M. Stewart unpublished data = 1.80,D. R. M. Stewart unpublished data = 0.00,Globorotalia excelsa,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia pertenuis,3.52,2.3,Datum B Globorotalia pertenuis of Raffi et al. (2020) = 3.52,Datum T Globorotalia pertenuis of Raffi et al. (2020) = 2.30,Globorotalia exilis,14,Kennett and Srinivasan (1983),"2,3",No data,Macro
Globorotalia plesiotumida,8.58,3.77,Datum B Globorotalia plesiotumida of Raffi et al. (2020) = 8.58,Datum T Globorotalia plesiotumida of Raffi et al. (2020) = 3.77,Globorotalia merotumida,14,Kennett and Srinivasan (1983),3,Pearson and Shackleton (1995),Macro
Globorotalia praemenardii,13.99,10.88,Datum B Globorotalia praemenardii of Raffi et al. (2020) = 13.99,Lirer et al. (2019) = 10.88,Globorotalia archeomenardii,14,Kennett and Srinivasan (1983),3,"Pearson and Shackleton (1995), Procter et al. (In prep)",Macro
Globorotalia praescitula,18.22,13.78,Datum B Globorotalia praescitula of Raffi et al. (2020) = 18.22,Datum T Globorotalia praescitula [SAtl] of Raffi et al. (2020) = 13.78,Paragloborotalia continuosa,16,Kennett and Srinivasan (1983),4,Pearson et al. (2001b),Macro
Globorotalia primitiva,6.08,4.8,Datum B Globorotalia margaritae of Raffi et al. (2020) = 6.08. D. R. M. Stewart unpublished data = 6.05,D. R. M. Stewart unpublished data = 4.80,Globorotalia juanai,14,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia pseudomiocenica,7.62,2.31,Chaisson and Leckie (1993) = 7.62,Datum T Globorotalia pseudomiocenica [IndoPac] of Raffi et al. (2020) = 2.31,Globorotalia limbata,14,Kennett and Srinivasan (1983),2,Procter et al. (In prep),Macro
Globorotalia ronda,4.01,1.02,D. R. M. Stewart unpublished data = 4.01,D. R. M. Stewart unpublished data = 1.02,Globorotalia crassaformis,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia scitula,15,Living,D. R. M. Stewart unpublished data = 15.00,D. R. M. Stewart unpublished data = 0.00,Globorotalia praescitula,14,Kennett and Srinivasan (1983),"2,3,4,6","Shackleton and Vincent (1978), Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al. (2021), Procter et al. (In prep)",Macro
Globorotalia tenuitheca,3.4,1.31,D. R. M. Stewart unpublished data = 3.40,D. R. M. Stewart unpublished data = 1.31,Globorotalia ronda,15,D. R. M. Stewart unpublished data,4,No data,Macro
Globorotalia tosaensis,3.35,0.61,Datum B Globorotalia tosaensis of Raffi et al. (2020) = 3.35,Datum T Globorotalia tosaensis of Raffi et al. (2020) = 0.61,Globorotalia tenuitheca,15,Kennett and Srinivasan (1983),"3,4","Shackleton and Vincent (1978), Boscolo-Galazzo et al. (2021)",Macro
Globorotalia truncatulinoides,2.61,Living,Datum B Globorotalia truncatulinoides [SWPac] of Berggren et al. (1995a) = 2.61,D. R. M. Stewart unpublished data = 0.00,Globorotalia tosaensis,15,Kennett and Srinivasan (1983),"2,3,4","Vergnaud-Grazzini (1976), Shackleton and Vincent (1978), Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al. (2021)",Macro
Globorotalia tumida,5.72,Living,Datum B Globorotalia tumida [Atl] of Raffi et al. (2020) = 5.72,D. R. M. Stewart unpublished data = 0.00,Globorotalia plesiotumida,14,Kennett and Srinivasan (1983),"3,4","Pearson and Shackleton (1995), Schiebel and Hemleben (2017), Boscolo-Galazzo et al (2021)",Macro
Globorotalia ungulata,4.91,Living,Chaisson and Leckie (1993) = 4.91,D. R. M. Stewart unpublished data = 0.00,Globorotalia tumida,14,Kennett and Srinivasan (1983),"2,3","Birch et al. (2013), Boscolo-Galazzo et al. (2021), Procter et al. (In prep)",Macro
Globorotalia viola,3.51,1.41,D. R. M. Stewart unpublished data = 3.51,D. R. M. Stewart unpublished data = 1.41,Globorotalia crassaformis,15,D. R. M. Stewart unpublished data,3,Boscolo-Galazzo et al. (2021),Macro
Globorotaloides atlanticus,24.96,18.72,Coxall and Spezzaferri (2018) = 24.96,Coxall and Spezzaferri (2018) = 18.72,Globorotaloides stainforthi,2,Coxall and Spezzaferri (2018),4,"Coxall and Spezzaferri (2018), S. Spezzaferri and H. K. Coxall unpublished data",Macro
Globorotaloides eovariabilis,49.18,20.83,Olsson et al. (2006a) = 49.18,Coxall and Spezzaferri (2018) = 23.87. Last recorded occurence date extension Coxall and Spezzaferri (2018) = 20.83,Globorotaloides quadrocameratus,2,Olsson et al. (2006a),4,Keller (1985),Macro
Globorotaloides hexagonus,28.24,Living,Coxall and Spezzaferri (2018) = 28.24,Kennett and Srinivasan (1983) = 0.00,Globorotaloides variabilis,7,Coxall and Spezzaferri (2018),4,"Keller (1985), Pearson et al. (2001b), Schiebel and Hemleben (2017), Boscolo-Galazzo et al (2021)",Macro
Globorotaloides oveyi,0.01,Living,Buckley (1973) = 0.01,Buckley (1973) = 0.00,Globorotaloides hexagonus,,,,No data,Macro
Globorotaloides quadrocameratus,57.89,22.42,First recorded occurence date extension Olsson et al. (1999) = 57.89. Olsson et al. (2006a) = 55.82,Coxall and Spezzaferri (2018) = 22.42,Subbotina cancellata,2,Olsson et al. (2006a),4,Keller (1985),Macro
Globorotaloides stainforthi,28.12,16.99,Coxall and Spezzaferri (2018) = 28.12,Coxall and Spezzaferri (2018) = 16.99,Globorotaloides variabilis,2,Kennett and Srinivasan (1983),4,Keller (1985),Macro
Globorotaloides suteri,40.81,15.7,Coxall and Spezzaferri (2018) = 40.81,Coxall and Spezzaferri (2018) = 15.70,Globorotaloides quadrocameratus,7,Coxall and Spezzaferri (2018),4,"Poore and Matthews (1984), Barrera and Huber (1991), Coxall and Spezzaferri (2018), H. K. Coxall unpublished data",Macro
Globorotaloides testarugosus,28.24,22.04,Coxall and Spezzaferri (2018) = 28.24,Coxall and Spezzaferri (2018) = 22.04,Globorotaloides eovariabilis,7,Coxall and Spezzaferri (2018),4,Keller (1985),Macro
Globorotaloides variabilis,29.57,15,First recorded occurence date extension Coxall and Spezzaferri (2018) = 29.57. Coxall and Spezzaferri (2018) = 28.91,Coxall and Spezzaferri (2018) = 15.00,Globorotaloides eovariabilis,2,Kennett and Srinivasan (1983),4,Keller (1985),Macro
Globoturborotalita apertura,11.18,1.64,Datum B Globoturborotalita apertura of Raffi et al. (2020) = 11.18,Datum T Globoturborotalita apertura of Raffi et al. (2020) = 1.64,Globoturborotalita woodi,2,Kennett and Srinivasan (1983),2,No data,Macro
Globoturborotalita barbula,37.8,33.68,Wade et al. (2021) = 37.80,Spezzaferri et al. (2018b) = 33.68,Globoturborotalita ouachitaensis,2,Spezzaferri et al. (2018b),1,Pearson and Wade (2015),Macro
Globoturborotalita bassriverensis,56.13,33.83,Olsson et al. (2006b) = 56.13,Spezzaferri et al. (2018b) = 33.83,Subbotina hornibrooki,2,Olsson et al. (2006b),2,Pearson et al. (2001a),Macro
Globoturborotalita brazieri,29.71,17.27,Spezzaferri et al. (2018b) = 29.71,Spezzaferri et al. (2018b) = 17.27,Globoturborotalita paracancellata,2,Kennett and Srinivasan (1983),1,"Spezzaferri et al. (2018b), S. Spezzaferri and H. K. Coxall unpublished data",Macro
Globoturborotalita cancellata,37.8,27.88,Wade et al. (2021) = 37.80,Spezzaferri et al. (2018b) = 27.88,Globoturborotalita bassriverensis,2,Spezzaferri et al. (2018b),1,No data,Macro
Globoturborotalita connecta,24.38,16.39,Spezzaferri et al. (2018b) = 24.38,Spezzaferri et al. (2018b) = 16.39,Globoturborotalita woodi,2,Kennett and Srinivasan (1983),1,"Spezzaferri et al. (2018b), S. Spezzaferri and H. K. Coxall unpublished data",Macro
Globoturborotalita decoraperta,11.16,2.75,Datum B Globoturborotalita decoraperta of Raffi et al. (2020) = 11.16,Datum T Globoturborotalita decoraperta of Raffi et al. (2020) = 2.75,Globoturborotalita woodi,2,Kennett and Srinivasan (1983),1,No data,Macro
Globoturborotalita druryi,20.91,0.59,Kennett and Srinivasan (1983) = 20.91,Kennett and Srinivasan (1983) = 0.59,Globoturborotalita woodi,2,Kennett and Srinivasan (1983),1,No data,Macro
Globoturborotalita eolabiacrassata,48.84,15.98,Spezzaferri et al. (2018b) = 48.84,Spezzaferri et al. (2018b) = 15.98,Globoturborotalita bassriverensis,2,Spezzaferri et al. (2018b),1,No data,Macro
Globoturborotalita euapertura,28.42,23.04,Spezzaferri et al. (2018b) = 28.42,Datum T Globoturborotalita euapertura of TimeScale Creator (2020) = 23.04,Globoturborotalita woodi,7,Wade et al. (2007),4,"Pearson et al. (1997b), Pearson et al. (2007)",Macro
Globoturborotalita gnaucki,37.76,28.16,Wade et al. (2021) = 37.76,Spezzaferri et al. (2018b) = 28.16,Globoturborotalita ouachitaensis,2,Olsson et al. (2006b),2,No data,Macro
Globoturborotalita labiacrassata,32.1,21.48,Spezzaferri et al. (2018b) = 32.10,Spezzaferri et al. (2018b) = 21.48,Globoturborotalita eolabiacrassata,2,Spezzaferri (1994),2,No data,Macro
Globoturborotalita martini,43.69,26.93,Olsson et al. (2006b) = 43.69,Spezzaferri et al. (2018b) = 26.93,Globoturborotalita bassriverensis,2,Olsson et al. (2006b),1,Pearson et al. (2001a),Macro
Globoturborotalita nepenthes,11.67,4.37,Datum B Globoturborotalita nepenthes of Raffi et al. (2020) = 11.67,Datum T Globoturborotalita nepenthes of Raffi et al. (2020) = 4.37,Globoturborotalita druryi,2,Kennett and Srinivasan (1983),2,D. R. M. Stewart unpublished data,Macro
Globoturborotalita occlusa,33.05,12.64,Spezzaferri et al. (2018b) = 33.05,Spezzaferri et al. (2018b) = 12.64,Globoturborotalita cancellata,2,Spezzaferri et al. (2018b),1,Stewart et al. (2004),Macro
Globoturborotalita ouachitaensis,42.76,21.16,Olsson et al. (2006b) = 42.76,Spezzaferri et al. (2018b) = 21.16,Globoturborotalita bassriverensis,2,Olsson et al. (2006b),1,Wade and Pearson (2008),Macro
Globoturborotalita paracancellata,37.76,25.2,Wade et al. (2021) = 37.76,Spezzaferri et al. (2018b) = 25.20,Globoturborotalita cancellata,2,Spezzaferri et al. (2018b),1,Pearson and Wade (2009),Macro
Globoturborotalita pseudopraebulloides,37.8,14.4,Wade et al. (2021) = 37.80,Spezzaferri et al. (2018b) = 14.40,Globoturborotalita cancellata,2,Spezzaferri et al. (2018b),1,No data,Macro
Globoturborotalita rubescens,3.62,Living,Chaisson and Pearson (1997) = 3.62,Stanley et al. (1988) = 0.00,Globoturborotalita decoraperta,2,Kennett and Srinivasan (1983),2,"Birch et al. (2013), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globoturborotalita woodi,29.18,2.3,Spezzaferri et al. (2018b) = 29.18,Datum T Globoturborotalita woodi of Raffi et al. (2020) = 2.30,Globoturborotalita brazieri,2,Kennett and Srinivasan (1983),1,"Pearson et al. (1997b), Pearson et al. (2007)",Macro
Guembelitrioides nuttalli,52.4,41.94,Datum B Guembelitrioides nuttalli of Luciani and Giusberti (2014) = 52.40,Datum T Guembelitrioides nuttalli of TimeScale Creator (2020) = 41.94,Parasubbotina inaequispira,2,Olsson et al. (2006a),3,Pearson et al. (1993),Macro
Hantkenina alabamensis,39.8,33.9,Coxall and Pearson (2006) = 39.80,Datum T Hantkenina alabamensis of TimeScale Creator (2020) = 33.90,Hantkenina compressa,10,Coxall and Pearson (2006),2,"Poore and Matthews (1984), Boersma et al. (1987), Coxall et al. (2000), Pearson et al. (2001a), Wade and Kroon (2002)",Macro
Hantkenina australis,41.96,38.07,Coxall and Pearson (2006) = 41.96,Coxall and Pearson (2006) = 38.07,Hantkenina dumblei,10,Coxall and Pearson (2006),3,No data,Macro
Hantkenina compressa,40.98,33.94,Coxall and Pearson (2006) = 40.98,Coxall and Pearson (2006) = 33.94,Hantkenina dumblei,10,Coxall and Pearson (2006),2,Coxall and Pearson (2006),Macro
Hantkenina dumblei,43.57,39,Coxall and Pearson (2006) = 43.57,Coxall and Pearson (2006) = 39.00,Hantkenina liebusi,10,Coxall and Pearson (2006),3,"Pearson et al. (1993), Pearson et al. (2001a), Coxall and Pearson (2006)",Macro
Hantkenina lehneri,43.59,41.11,Coxall and Pearson (2006) = 43.59,Coxall and Pearson (2006) = 41.11,Hantkenina liebusi,10,Coxall and Pearson (2006),3,No data,Macro
Hantkenina liebusi,43.91,39.72,Coxall and Pearson (2006) = 43.91,Coxall and Pearson (2006) = 39.72,Hantkenina mexicana,10,Coxall and Pearson (2006),4,"Pearson et al. (1993), Coxall et al. (2000), Pearson et al. (2001a)",Macro
Hantkenina mexicana,44.15,43.46,Coxall and Pearson (2006) = 44.15,Coxall and Pearson (2006) = 43.46,Hantkenina singanoae,10,Coxall and Pearson (2006),4,"Coxall et al. (2000), Pearson et al. (2001a)",Macro
