species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Sphaeroidinellopsis disjuncta,17.87,12.28,Kennett and Srinivasan (1983) = 17.87,Kennett and Srinivasan (1983) = 12.28,Globoturborotalita woodi,7,Kennett and Srinivasan (1983),3,Boscolo-Galazzo et al (2021),Macro
Sphaeroidinellopsis kochi,14.4,4.53,Kennett and Srinivasan (1983) = 14.40,Datum T Sphaeroidinellopsis kochi of Raffi et al. (2020) = 4.53,Sphaeroidinellopsis disjuncta,7,Kennett and Srinivasan (1983),3,Boscolo-Galazzo et al (2021),Macro
Sphaeroidinellopsis paenedehiscens,7.24,2.31,Kennett and Srinivasan (1983) = 7.24,Chaisson and Pearson (1997) = 2.31,Sphaeroidinellopsis seminulina,7,Kennett and Srinivasan (1983),3,Pearson and Shackleton (1995),Macro
Sphaeroidinellopsis seminulina,16.39,3.16,Kennett and Srinivasan (1983) = 16.39,Datum T Sphaeroidinellopsis seminulina [Atl] of Raffi et al. (2020) = 3.16,Sphaeroidinellopsis disjuncta,7,Kennett and Srinivasan (1983),3,Boscolo-Galazzo et al (2021),Macro
Subbotina angiporoides,41.94,29.84,Datum B Subbotina angiporoides of Huber and Quillévéré (2005) = 41.94,Datum T Subbotina angiporoides of TimeScale Creator (2020) = 29.84,Subbotina minima,2,Olsson et al. (2006b),3,"Poore and Matthews (1984), Coxall et al. (2000)",Macro
Subbotina cancellata,62.91,57.89,Olsson et al. (1999) = 62.91,Olsson et al. (1999) = 57.89,Subbotina trivialis,2,Olsson et al. (1999),3,Coxall et al. (2000),Macro
Subbotina corpulenta,49.18,29.04,Wade et al. (2018b) = 49.18,Wade et al. (2018b) = 29.04,Subbotina eocaena,2,Olsson et al. (2006b),3,"Coxall et al. (2000), Wade and Pearson (2008)",Macro
Subbotina crociapertura,49.28,39.97,Datum B Subbotina crociapertura of Luciani and Giusberti (2014) = 49.28,Olsson et al. (2006b) = 39.97,Subbotina yeguaensis,2,Olsson et al. (2006b),4,"Coxall et al. (2000), Pearson et al. (2001a)",Macro
Subbotina eocaena,51.27,25.44,Datum B Subbotina eocaena of Luciani and Giusberti (2014) = 51.27,Wade et al. (2018b) = 25.44,Subbotina roesnaesensis,2,Olsson et al. (2006b),4,"Boersma et al. (1987), Coxall et al. (2000), Pearson et al. (2001a), Wade et al. (2007), Wade and Pearson (2008)",Macro
Subbotina gortanii,39,24.47,Wade et al. (2018b) = 39.00,Wade et al. (2018b) = 24.47,Subbotina yeguaensis,2,Olsson et al. (2006b),4,"Coxall et al. (2000), Pearson et al. (2001a)",Macro
Subbotina hornibrooki,56.37,53.76,Olsson et al. (2006b) = 56.37,Datum T Subbotina hornibrooki of Luciani and Giusberti (2014) = 53.76,Subbotina velascoensis,2,Olsson et al. (2006b),3,Coxall et al. (2000),Macro
Subbotina jacksonensis,43.46,33.94,Olsson et al. (2006b) = 43.46,Olsson et al. (2006b) = 33.94,Subbotina eocaena,2,Olsson et al. (2006b),3,Coxall et al. (2000),Macro
Subbotina linaperta,52.06,31.89,Olsson et al. (2006b) = 52.06,Wade et al. (2018b) = 31.89,Subbotina patagonica,2,Olsson et al. (2006b),3,"Poore and Matthews (1984), Pearson et al. (1993), Coxall et al. (2000)",Macro
Subbotina minima,43.69,30,Wade et al. (2018b) = 43.69,Wade et al. (2018b) = 30.00,Subbotina linaperta,2,Wade et al. (2018b),3,Wade et al. (2018b),Macro
Subbotina patagonica,58.34,44.98,Olsson et al. (2006b) = 58.34,Olsson et al. (2006b) = 44.98,Subbotina cancellata,2,Olsson et al. (2006b),4,"Pearson and Palmer (1999), Coxall et al. (2000)",Macro
Subbotina projecta,37.76,23.87,Wade et al. (2021) = 37.76,Wade et al. (2018b) = 23.87,Subbotina tecta,2,Wade et al. (2018b),3,Wade and Pearson (2008),Macro
Subbotina roesnaesensis,56.37,42.86,Olsson et al. (2006b) = 56.37,Olsson et al. (2006b) = 42.86,Subbotina triangularis,2,Olsson et al. (2006b),3,Coxall et al. (2000),Macro
Subbotina senni,50.58,37.95,Olsson et al. (2006b) = 50.58,Olsson et al. (2006b) = 37.95,Subbotina roesnaesensis,2,Olsson et al. (2006b),5,"Pearson et al. (1993), Coxall et al. (2000), Pearson et al. (2001a)",Macro
Subbotina tecta,37.76,32.1,First recorded occurence date extension Wade et al. (2021) = 37.76. First recorded occurence date extension Wade et al. (2018b) = 36.40. Wade et al. (2018b) = 34.30,Wade et al. (2018b) = 32.10,Subbotina eocaena,2,Wade et al. (2018b),3,No data,Macro
